code;label;Parent_1;Type;CATPOL;Commitment;Payment
;;;;I;;
;;;;Final Budget 2014;;
"Title
Chapter
Article
Item";Title;Parent_1;Type;CF;CC;CP
SEC1;SECTION I — EUROPEAN PARLIAMENT;;;n/a;n/a;n/a
SEC1;Reserves;;;n/a;n/a;n/a
SEC1 E;EXPENDITURE;;;;1.755.631.742;1.755.631.742
SEC1 E;Reserves;;;;;
SEC1 1;PERSONS WORKING WITH THE INSTITUTION;SEC1 E;;;936.410.846;936.410.846
SEC1 1;Reserves;SEC1 E Reserves;;;;
SEC1 1 0;MEMBERS OF THE INSTITUTION;SEC1 1;;;224.292.069;224.292.069
SEC1 1 0;Reserves;SEC1 1 Reserves;;;;
SEC1 1 0 0;Salaries and allowances;SEC1 1 0;;;189.441.709;189.441.709
SEC1 1 0 0;Reserves;SEC1 1 0 Reserves;;;;
SEC1 1 0 0 0;Salaries;SEC1 1 0 0;;5.2.11;73.643.709;73.643.709
SEC1 1 0 0 0;Reserves;SEC1 1 0 0 Reserves;;5.2.11;n/a;n/a
SEC1 1 0 0 4;Ordinary travel expenses;SEC1 1 0 0;;5.2.11;65.400.000;65.400.000
SEC1 1 0 0 4;Reserves;SEC1 1 0 0 Reserves;;5.2.11;n/a;n/a
SEC1 1 0 0 5;Other travel expenses;SEC1 1 0 0;;5.2.11;6.800.000;6.800.000
SEC1 1 0 0 5;Reserves;SEC1 1 0 0 Reserves;;5.2.11;n/a;n/a
SEC1 1 0 0 6;General expenditure allowance;SEC1 1 0 0;;5.2.11;43.418.000;43.418.000
SEC1 1 0 0 6;Reserves;SEC1 1 0 0 Reserves;;5.2.11;n/a;n/a
SEC1 1 0 0 7;Allowances for performance of duties;SEC1 1 0 0;;5.2.11;180.000;180.000
SEC1 1 0 0 7;Reserves;SEC1 1 0 0 Reserves;;5.2.11;n/a;n/a
SEC1 1 0 1;Accident and sickness insurance and other welfare measures;SEC1 1 0;;;3.669.000;3.669.000
SEC1 1 0 1;Reserves;SEC1 1 0 Reserves;;;;
SEC1 1 0 1 0;Accident and sickness insurance and other social security charges;SEC1 1 0 1;;5.2.11;3.368.000;3.368.000
SEC1 1 0 1 0;Reserves;SEC1 1 0 1 Reserves;;5.2.11;n/a;n/a
SEC1 1 0 1 2;Specific measures to assist disabled Members;SEC1 1 0 1;;5.2.11;301.000;301.000
SEC1 1 0 1 2;Reserves;SEC1 1 0 1 Reserves;;5.2.11;n/a;n/a
SEC1 1 0 2;Transitional allowances;SEC1 1 0;;5.2.11;15.784.819;15.784.819
SEC1 1 0 2;Reserves;SEC1 1 0 Reserves;;5.2.11;n/a;n/a
SEC1 1 0 3;Pensions;SEC1 1 0;;;14.896.541;14.896.541
SEC1 1 0 3;Reserves;SEC1 1 0 Reserves;;;;
SEC1 1 0 3 0;Retirement pensions;SEC1 1 0 3;;5.2.11;11.744.000;11.744.000
